species,landscape,rep,it,numocc
ca_species1,LLM3,0,63,9908
ca_species1,LLM3,0,64,9993
ca_species1,LLM3,0,65,9922
ca_species1,LLM3,0,66,9856
ca_species1,LLM3,0,67,10014
ca_species1,LLM3,0,68,10010
ca_species1,LLM3,0,69,10032
ca_species1,LLM3,0,70,10045
ca_species1,LLM3,0,71,9985
ca_species1,LLM3,0,72,9996
ca_species1,LLM3,0,73,9943
ca_species1,LLM3,0,74,9956
ca_species1,LLM3,0,75,9872
ca_species1,LLM3,0,76,9827
ca_species1,LLM3,0,77,9820
ca_species1,LLM3,0,78,9813
ca_species1,LLM3,0,79,9924
ca_species1,LLM3,0,80,9860
ca_species1,LLM3,0,81,9870
ca_species1,LLM3,0,82,9857
ca_species1,LLM3,0,83,9911
ca_species1,LLM3,0,84,9876
ca_species1,LLM3,0,85,9928
ca_species1,LLM3,0,86,10021
ca_species1,LLM3,0,87,9988
ca_species1,LLM3,0,88,9893
ca_species1,LLM3,0,89,9940
ca_species1,LLM3,0,90,9931
ca_species1,LLM3,0,91,9910
ca_species1,LLM3,0,92,9852
ca_species1,LLM3,0,93,9818
ca_species1,LLM3,0,94,9774
ca_species1,LLM3,0,95,9773
ca_species1,LLM3,0,96,9719
ca_species1,LLM3,0,97,9710
ca_species1,LLM3,0,98,9696
ca_species1,LLM3,0,99,9576
ca_species1,LLM3,0,100,9578
ca_species1,LLM3,0,101,9529
ca_species1,LLM3,0,102,9499
ca_species1,LLM3,0,103,9526
ca_species1,LLM3,0,104,9598
ca_species1,LLM3,0,105,9599
ca_species1,LLM3,0,106,9624
ca_species1,LLM3,0,107,9601
ca_species1,LLM3,0,108,9622
ca_species1,LLM3,0,109,9487
ca_species1,LLM3,0,110,9549
ca_species1,LLM3,0,111,9679
ca_species1,LLM3,0,112,9639
ca_species1,LLM3,0,113,9646
ca_species1,LLM3,0,114,9620
ca_species1,LLM3,0,115,9715
ca_species1,LLM3,0,116,9748
ca_species1,LLM3,0,117,9663
ca_species1,LLM3,0,118,9729
ca_species1,LLM3,0,119,9682
ca_species1,LLM3,0,120,9735
ca_species1,LLM3,0,121,9689
ca_species1,LLM3,0,122,9694
ca_species1,LLM3,0,123,9700
ca_species1,LLM3,0,124,9733
ca_species1,LLM3,0,125,9614
ca_species1,LLM3,0,126,9652
ca_species1,LLM3,0,127,9716
ca_species1,LLM3,0,128,9692
ca_species1,LLM3,0,129,9740
ca_species1,LLM3,0,130,9701
ca_species1,LLM3,0,131,9655
ca_species1,LLM3,0,132,9591
ca_species1,LLM3,0,133,9662
ca_species1,LLM3,0,134,9626
ca_species1,LLM3,0,135,9613
ca_species1,LLM3,0,136,9503
ca_species1,LLM3,0,137,9545
ca_species1,LLM3,0,138,9582
ca_species1,LLM3,0,139,9611
ca_species1,LLM3,0,140,9658
ca_species1,LLM3,0,141,9710
ca_species1,LLM3,0,142,9725
ca_species1,LLM3,0,143,9712
ca_species1,LLM3,0,144,9795
ca_species1,LLM3,0,145,9764
ca_species1,LLM3,0,146,9742
ca_species1,LLM3,0,147,9777
ca_species1,LLM3,0,148,9744
ca_species1,LLM3,0,149,9795
ca_species1,LLM3,0,150,9765
ca_species1,LLM3,0,151,9797
ca_species1,LLM3,0,152,9760
ca_species1,LLM3,0,153,9711
ca_species1,LLM3,0,154,9658
ca_species1,LLM3,0,155,9635
ca_species1,LLM3,0,156,9654
ca_species1,LLM3,0,157,9562
ca_species1,LLM3,0,158,9689
ca_species1,LLM3,0,159,9665
ca_species1,LLM3,0,160,9747
ca_species1,LLM3,0,161,9846
ca_species1,LLM3,0,162,9745
ca_species1,LLM3,0,163,9674
ca_species1,LLM3,0,164,9660
ca_species1,LLM3,0,165,9707
ca_species1,LLM3,0,166,9712
ca_species1,LLM3,0,167,9739
ca_species1,LLM3,0,168,9758
ca_species1,LLM3,0,169,9654
ca_species1,LLM3,0,170,9645
ca_species1,LLM3,0,171,9694
ca_species1,LLM3,0,172,9678
ca_species1,LLM3,0,173,9565
ca_species1,LLM3,0,174,9547
ca_species1,LLM3,0,175,9494
ca_species1,LLM3,0,176,9579
ca_species1,LLM3,0,177,9593
ca_species1,LLM3,0,178,9587
ca_species1,LLM3,0,179,9597
ca_species1,LLM3,0,180,9662
ca_species1,LLM3,0,181,9650
ca_species1,LLM3,0,182,9676
ca_species1,LLM3,0,183,9615
ca_species1,LLM3,0,184,9598
ca_species1,LLM3,0,185,9691
ca_species1,LLM3,0,186,9674
ca_species1,LLM3,0,187,9724
ca_species1,LLM3,0,188,9762
ca_species1,LLM3,0,189,9731
ca_species1,LLM3,0,190,9797
ca_species1,LLM3,0,191,9837
ca_species1,LLM3,0,192,9793
ca_species1,LLM3,0,193,9871
ca_species1,LLM3,0,194,9863
ca_species1,LLM3,0,195,9735
ca_species1,LLM3,0,196,9760
ca_species1,LLM3,0,197,9806
ca_species1,LLM3,0,198,9809
ca_species1,LLM3,0,199,9833
ca_species1,LLM3,0,200,9737
ca_species1,LLM3,0,201,9710
ca_species1,LLM3,0,202,9664
ca_species1,LLM3,0,203,9634
ca_species1,LLM3,0,204,9609
ca_species1,LLM3,0,205,9595
ca_species1,LLM3,0,206,9641
ca_species1,LLM3,0,207,9689
ca_species1,LLM3,0,208,9750
ca_species1,LLM3,0,209,9775
ca_species1,LLM3,0,210,9763
ca_species1,LLM3,0,211,9808
ca_species1,LLM3,0,212,9755
ca_species1,LLM3,0,213,9727
ca_species1,LLM3,0,214,9724
ca_species1,LLM3,0,215,9731
ca_species1,LLM3,0,216,9816
ca_species1,LLM3,0,217,9702
ca_species1,LLM3,0,218,9713
ca_species1,LLM3,0,219,9624
ca_species1,LLM3,0,220,9590
ca_species1,LLM3,0,221,9694
ca_species1,LLM3,0,222,9664
ca_species1,LLM3,0,223,9625
ca_species1,LLM3,0,224,9519
ca_species1,LLM3,0,225,9654
ca_species1,LLM3,0,226,9631
ca_species1,LLM3,0,227,9575
ca_species1,LLM3,0,228,9570
ca_species1,LLM3,0,229,9637
ca_species1,LLM3,0,230,9631
ca_species1,LLM3,0,231,9640
ca_species1,LLM3,0,232,9628
ca_species1,LLM3,0,233,9693
ca_species1,LLM3,0,234,9713
ca_species1,LLM3,0,235,9760
ca_species1,LLM3,0,236,9644
ca_species1,LLM3,0,237,9643
ca_species1,LLM3,0,238,9697
ca_species1,LLM3,0,239,9779
ca_species1,LLM3,0,240,9747
ca_species1,LLM3,0,241,9717
ca_species1,LLM3,0,242,9667
ca_species1,LLM3,0,243,9730
ca_species1,LLM3,0,244,9650
ca_species1,LLM3,0,245,9710
ca_species1,LLM3,0,246,9626
ca_species1,LLM3,0,247,9631
ca_species1,LLM3,0,248,9570
ca_species1,LLM3,0,249,9545
ca_species1,LLM3,0,250,9559
ca_species1,LLM3,0,251,9550
ca_species1,LLM3,0,252,9662
ca_species1,LLM3,0,253,9580
ca_species1,LLM3,0,254,9579
ca_species1,LLM3,0,255,9584
ca_species1,LLM3,0,256,9637
ca_species1,LLM3,0,257,9677
ca_species1,LLM3,0,258,9658
ca_species1,LLM3,0,259,9619
ca_species1,LLM3,0,260,9586
ca_species1,LLM3,0,261,9651
ca_species1,LLM3,0,262,9643
ca_species1,LLM3,0,263,9637
ca_species1,LLM3,0,264,9685
ca_species1,LLM3,0,265,9638
ca_species1,LLM3,0,266,9615
ca_species1,LLM3,0,267,9530
ca_species1,LLM3,0,268,9647
ca_species1,LLM3,0,269,9681
ca_species1,LLM3,0,270,9717
ca_species1,LLM3,0,271,9701
ca_species1,LLM3,0,272,9733
ca_species1,LLM3,0,273,9776
ca_species1,LLM3,0,274,9680
ca_species1,LLM3,0,275,9683
ca_species1,LLM3,0,276,9676
ca_species1,LLM3,0,277,9587
ca_species1,LLM3,0,278,9585
ca_species1,LLM3,0,279,9571
ca_species1,LLM3,0,280,9558
ca_species1,LLM3,0,281,9626
ca_species1,LLM3,0,282,9648
ca_species1,LLM3,0,283,9654
ca_species1,LLM3,0,284,9573
ca_species1,LLM3,0,285,9573
ca_species1,LLM3,0,286,9565
ca_species1,LLM3,0,287,9524
ca_species1,LLM3,0,288,9582
ca_species1,LLM3,0,289,9617
ca_species1,LLM3,0,290,9751
ca_species1,LLM3,0,291,9753
ca_species1,LLM3,0,292,9616
ca_species1,LLM3,0,293,9692
ca_species1,LLM3,0,294,9742
ca_species1,LLM3,0,295,9702
ca_species1,LLM3,0,296,9783
ca_species1,LLM3,0,297,9781
ca_species1,LLM3,0,298,9693
ca_species1,LLM3,0,299,9709
ca_species1,LLM3,0,300,9773
ca_species1,LLM3,0,301,9701
ca_species1,LLM3,0,302,9645
ca_species1,LLM3,0,303,9603
ca_species1,LLM3,0,304,9606
ca_species1,LLM3,0,305,9547
ca_species1,LLM3,0,306,9445
ca_species1,LLM3,0,307,9443
ca_species1,LLM3,0,308,9509
ca_species1,LLM3,0,309,9531
ca_species1,LLM3,0,310,9565
ca_species1,LLM3,0,311,9588
ca_species1,LLM3,0,312,9620
ca_species1,LLM3,0,313,9542
ca_species1,LLM3,0,314,9623
ca_species1,LLM3,0,315,9648
ca_species1,LLM3,0,316,9653
ca_species1,LLM3,0,317,9640
ca_species1,LLM3,0,318,9622
ca_species1,LLM3,0,319,9573
ca_species1,LLM3,0,320,9603
ca_species1,LLM3,0,321,9531
ca_species1,LLM3,0,322,9565
ca_species1,LLM3,0,323,9571
ca_species1,LLM3,0,324,9501
ca_species1,LLM3,0,325,9463
ca_species1,LLM3,0,326,9501
ca_species1,LLM3,0,327,9583
ca_species1,LLM3,0,328,9562
ca_species1,LLM3,0,329,9545
ca_species1,LLM3,0,330,9529
ca_species1,LLM3,0,331,9440
ca_species1,LLM3,0,332,9485
ca_species1,LLM3,0,333,9541
ca_species1,LLM3,0,334,9503
ca_species1,LLM3,0,335,9451
ca_species1,LLM3,0,336,9491
ca_species1,LLM3,0,337,9444
ca_species1,LLM3,0,338,9544
ca_species1,LLM3,0,339,9624
ca_species1,LLM3,0,340,9638
ca_species1,LLM3,0,341,9542
ca_species1,LLM3,0,342,9567
ca_species1,LLM3,0,343,9603
ca_species1,LLM3,0,344,9551
ca_species1,LLM3,0,345,9541
ca_species1,LLM3,0,346,9636
ca_species1,LLM3,0,347,9551
ca_species1,LLM3,0,348,9562
ca_species1,LLM3,0,349,9543
ca_species1,LLM3,0,350,9584
ca_species1,LLM3,0,351,9575
ca_species1,LLM3,0,352,9604
ca_species1,LLM3,0,353,9621
ca_species1,LLM3,0,354,9707
ca_species1,LLM3,0,355,9644
ca_species1,LLM3,0,356,9658
ca_species1,LLM3,0,357,9560
ca_species1,LLM3,0,358,9602
ca_species1,LLM3,0,359,9511
ca_species1,LLM3,0,360,9519
ca_species1,LLM3,0,361,9489
ca_species1,LLM3,0,362,9595
ca_species1,LLM3,0,363,9525
ca_species1,LLM3,0,364,9523
ca_species1,LLM3,0,365,9504
ca_species1,LLM3,0,366,9547
ca_species1,LLM3,0,367,9614
ca_species1,LLM3,0,368,9652
ca_species1,LLM3,0,369,9692
ca_species1,LLM3,0,370,9705
ca_species1,LLM3,0,371,9582
ca_species1,LLM3,0,372,9567
ca_species1,LLM3,0,373,9535
ca_species1,LLM3,0,374,9598
ca_species1,LLM3,0,375,9522
ca_species1,LLM3,0,376,9542
ca_species1,LLM3,0,377,9641
ca_species1,LLM3,0,378,9602
ca_species1,LLM3,0,379,9632
ca_species1,LLM3,0,380,9681
ca_species1,LLM3,0,381,9626
ca_species1,LLM3,0,382,9679
ca_species1,LLM3,0,383,9574
ca_species1,LLM3,0,384,9529
ca_species1,LLM3,0,385,9584
ca_species1,LLM3,0,386,9638
ca_species1,LLM3,0,387,9657
ca_species1,LLM3,0,388,9607
ca_species1,LLM3,0,389,9656
ca_species1,LLM3,0,390,9743
ca_species1,LLM3,0,391,9692
ca_species1,LLM3,0,392,9733
ca_species1,LLM3,0,393,9707
ca_species1,LLM3,0,394,9707
ca_species1,LLM3,0,395,9629
ca_species1,LLM3,0,396,9578
ca_species1,LLM3,0,397,9614
ca_species1,LLM3,0,398,9628
ca_species1,LLM3,0,399,9558
ca_species1,LLM3,0,400,9567
ca_species1,LLM3,0,401,9523
ca_species1,LLM3,0,402,9527
ca_species1,LLM3,0,403,9500
ca_species1,LLM3,0,404,9626
ca_species1,LLM3,0,405,9624
ca_species1,LLM3,0,406,9586
ca_species1,LLM3,0,407,9614
ca_species1,LLM3,0,408,9699
ca_species1,LLM3,0,409,9700
ca_species1,LLM3,0,410,9715
ca_species1,LLM3,0,411,9662
ca_species1,LLM3,0,412,9637
ca_species1,LLM3,0,413,9596
ca_species1,LLM3,0,414,9642
ca_species1,LLM3,0,415,9565
ca_species1,LLM3,0,416,9569
ca_species1,LLM3,0,417,9626
ca_species1,LLM3,0,418,9615
ca_species1,LLM3,0,419,9571
ca_species1,LLM3,0,420,9585
ca_species1,LLM3,0,421,9484
ca_species1,LLM3,0,422,9605
ca_species1,LLM3,0,423,9572
ca_species1,LLM3,0,424,9560
ca_species1,LLM3,0,425,9613
ca_species1,LLM3,0,426,9702
ca_species1,LLM3,0,427,9697
ca_species1,LLM3,0,428,9652
ca_species1,LLM3,0,429,9652
ca_species1,LLM3,0,430,9729
ca_species1,LLM3,0,431,9707
ca_species1,LLM3,0,432,9735
ca_species1,LLM3,0,433,9664
ca_species1,LLM3,0,434,9711
ca_species1,LLM3,0,435,9654
ca_species1,LLM3,0,436,9669
ca_species1,LLM3,0,437,9640
ca_species1,LLM3,0,438,9628
ca_species1,LLM3,0,439,9604
ca_species1,LLM3,0,440,9619
ca_species1,LLM3,0,441,9668
ca_species1,LLM3,0,442,9694
ca_species1,LLM3,0,443,9685
ca_species1,LLM3,0,444,9672
ca_species1,LLM3,0,445,9660
ca_species1,LLM3,0,446,9757
ca_species1,LLM3,0,447,9742
ca_species1,LLM3,0,448,9691
ca_species1,LLM3,0,449,9688
ca_species1,LLM3,0,450,9728
ca_species1,LLM3,0,451,9692
ca_species1,LLM3,0,452,9603
ca_species1,LLM3,0,453,9631
ca_species1,LLM3,0,454,9706
ca_species1,LLM3,0,455,9633
ca_species1,LLM3,0,456,9663
ca_species1,LLM3,0,457,9665
ca_species1,LLM3,0,458,9756
ca_species1,LLM3,0,459,9594
ca_species1,LLM3,0,460,9606
ca_species1,LLM3,0,461,9584
ca_species1,LLM3,0,462,9639
ca_species1,LLM3,0,463,9706
ca_species1,LLM3,0,464,9587
ca_species1,LLM3,0,465,9626
ca_species1,LLM3,0,466,9600
ca_species1,LLM3,0,467,9593
ca_species1,LLM3,0,468,9582
ca_species1,LLM3,0,469,9527
ca_species1,LLM3,0,470,9604
ca_species1,LLM3,0,471,9610
ca_species1,LLM3,0,472,9526
ca_species1,LLM3,0,473,9547
ca_species1,LLM3,0,474,9462
ca_species1,LLM3,0,475,9439
ca_species1,LLM3,0,476,9511
ca_species1,LLM3,0,477,9469
ca_species1,LLM3,0,478,9593
ca_species1,LLM3,0,479,9509
ca_species1,LLM3,0,480,9500
ca_species1,LLM3,0,481,9529
ca_species1,LLM3,0,482,9500
ca_species1,LLM3,0,483,9525
ca_species1,LLM3,0,484,9490
ca_species1,LLM3,0,485,9514
ca_species1,LLM3,0,486,9424
ca_species1,LLM3,0,487,9415
ca_species1,LLM3,0,488,9399
ca_species1,LLM3,0,489,9468
ca_species1,LLM3,0,490,9553
ca_species1,LLM3,0,491,9535
ca_species1,LLM3,0,492,9542
ca_species1,LLM3,0,493,9553
ca_species1,LLM3,0,494,9562
ca_species1,LLM3,0,495,9512
ca_species1,LLM3,0,496,9448
ca_species1,LLM3,0,497,9573
ca_species1,LLM3,0,498,9508
ca_species1,LLM3,0,499,9591
ca_species1,LLM3,0,500,9549
ca_species1,LLM3,1,1,66358
ca_species1,LLM3,1,2,41074
ca_species1,LLM3,1,3,29953
ca_species1,LLM3,1,4,24232
ca_species1,LLM3,1,5,20485
ca_species1,LLM3,1,6,18156
ca_species1,LLM3,1,7,16471
ca_species1,LLM3,1,8,15203
ca_species1,LLM3,1,9,14246
ca_species1,LLM3,1,10,13613
ca_species1,LLM3,1,11,12992
ca_species1,LLM3,1,12,12557
ca_species1,LLM3,1,13,12058
ca_species1,LLM3,1,14,11788
ca_species1,LLM3,1,15,11539
ca_species1,LLM3,1,16,11311
ca_species1,LLM3,1,17,11164
ca_species1,LLM3,1,18,10992
ca_species1,LLM3,1,19,10942
ca_species1,LLM3,1,20,10807
ca_species1,LLM3,1,21,10717
ca_species1,LLM3,1,22,10666
ca_species1,LLM3,1,23,10602
ca_species1,LLM3,1,24,10455
ca_species1,LLM3,1,25,10406
ca_species1,LLM3,1,26,10456
ca_species1,LLM3,1,27,10440
ca_species1,LLM3,1,28,10369
ca_species1,LLM3,1,29,10394
ca_species1,LLM3,1,30,10304
ca_species1,LLM3,1,31,10262
ca_species1,LLM3,1,32,10179
ca_species1,LLM3,1,33,10091
ca_species1,LLM3,1,34,10077
ca_species1,LLM3,1,35,10027
ca_species1,LLM3,1,36,10128
ca_species1,LLM3,1,37,10158
ca_species1,LLM3,1,38,10154
ca_species1,LLM3,1,39,10145
ca_species1,LLM3,1,40,10115
ca_species1,LLM3,1,41,10043
ca_species1,LLM3,1,42,10067
ca_species1,LLM3,1,43,9996
ca_species1,LLM3,1,44,9979
ca_species1,LLM3,1,45,9871
ca_species1,LLM3,1,46,9860
ca_species1,LLM3,1,47,9906
ca_species1,LLM3,1,48,9840
ca_species1,LLM3,1,49,9815
ca_species1,LLM3,1,50,9859
ca_species1,LLM3,1,51,9858
ca_species1,LLM3,1,52,9857
ca_species1,LLM3,1,53,9822
ca_species1,LLM3,1,54,9856
ca_species1,LLM3,1,55,9830
ca_species1,LLM3,1,56,9770
ca_species1,LLM3,1,57,9694
ca_species1,LLM3,1,58,9834
ca_species1,LLM3,1,59,9793
ca_species1,LLM3,1,60,9747
ca_species1,LLM3,1,61,9915
ca_species1,LLM3,1,62,9854
ca_species1,LLM3,1,63,9825
ca_species1,LLM3,1,64,9824
ca_species1,LLM3,1,65,9788
ca_species1,LLM3,1,66,9781
ca_species1,LLM3,1,67,9807
ca_species1,LLM3,1,68,9808
ca_species1,LLM3,1,69,9769
ca_species1,LLM3,1,70,9815
ca_species1,LLM3,1,71,9811
ca_species1,LLM3,1,72,9805
ca_species1,LLM3,1,73,9846
ca_species1,LLM3,1,74,9899
ca_species1,LLM3,1,75,9939
ca_species1,LLM3,1,76,9957
ca_species1,LLM3,1,77,9933
ca_species1,LLM3,1,78,9910
ca_species1,LLM3,1,79,9847
ca_species1,LLM3,1,80,9778
ca_species1,LLM3,1,81,9735
ca_species1,LLM3,1,82,9788
ca_species1,LLM3,1,83,9709
ca_species1,LLM3,1,84,9661
ca_species1,LLM3,1,85,9689
ca_species1,LLM3,1,86,9704
ca_species1,LLM3,1,87,9628
ca_species1,LLM3,1,88,9691
ca_species1,LLM3,1,89,9670
ca_species1,LLM3,1,90,9760
ca_species1,LLM3,1,91,9739
ca_species1,LLM3,1,92,9595
ca_species1,LLM3,1,93,9655
ca_species1,LLM3,1,94,9705
ca_species1,LLM3,1,95,9753
ca_species1,LLM3,1,96,9786
ca_species1,LLM3,1,97,9864
ca_species1,LLM3,1,98,9847
ca_species1,LLM3,1,99,9783
ca_species1,LLM3,1,100,9837
ca_species1,LLM3,1,101,9885
ca_species1,LLM3,1,102,9874
ca_species1,LLM3,1,103,9867
ca_species1,LLM3,1,104,9865
ca_species1,LLM3,1,105,9873
ca_species1,LLM3,1,106,9834
ca_species1,LLM3,1,107,9826
ca_species1,LLM3,1,108,9805
ca_species1,LLM3,1,109,9834
ca_species1,LLM3,1,110,9726
ca_species1,LLM3,1,111,9632
ca_species1,LLM3,1,112,9716
ca_species1,LLM3,1,113,9756
ca_species1,LLM3,1,114,9762
ca_species1,LLM3,1,115,9829
ca_species1,LLM3,1,116,9786
ca_species1,LLM3,1,117,9847
ca_species1,LLM3,1,118,9739
ca_species1,LLM3,1,119,9779
ca_species1,LLM3,1,120,9861
ca_species1,LLM3,1,121,9853
ca_species1,LLM3,1,122,9826
ca_species1,LLM3,1,123,9760
ca_species1,LLM3,1,124,9788
ca_species1,LLM3,1,125,9711
ca_species1,LLM3,1,126,9652
ca_species1,LLM3,1,127,9606
ca_species1,LLM3,1,128,9678
ca_species1,LLM3,1,129,9714
ca_species1,LLM3,1,130,9720
ca_species1,LLM3,1,131,9729
ca_species1,LLM3,1,132,9695
ca_species1,LLM3,1,133,9695
ca_species1,LLM3,1,134,9716
ca_species1,LLM3,1,135,9650
ca_species1,LLM3,1,136,9748
ca_species1,LLM3,1,137,9750
ca_species1,LLM3,1,138,9759
ca_species1,LLM3,1,139,9793
ca_species1,LLM3,1,140,9846
ca_species1,LLM3,1,141,9744
ca_species1,LLM3,1,142,9738
ca_species1,LLM3,1,143,9701
ca_species1,LLM3,1,144,9710
ca_species1,LLM3,1,145,9703
ca_species1,LLM3,1,146,9712
ca_species1,LLM3,1,147,9719
ca_species1,LLM3,1,148,9770
ca_species1,LLM3,1,149,9757
ca_species1,LLM3,1,150,9795
ca_species1,LLM3,1,151,9806
ca_species1,LLM3,1,152,9796
ca_species1,LLM3,1,153,9845
ca_species1,LLM3,1,154,9893
ca_species1,LLM3,1,155,9920
ca_species1,LLM3,1,156,9912
ca_species1,LLM3,1,157,9945
ca_species1,LLM3,1,158,9857
ca_species1,LLM3,1,159,9868
ca_species1,LLM3,1,160,9906
ca_species1,LLM3,1,161,9779
ca_species1,LLM3,1,162,9765
ca_species1,LLM3,1,163,9797
ca_species1,LLM3,1,164,9773
ca_species1,LLM3,1,165,9762
ca_species1,LLM3,1,166,9692
ca_species1,LLM3,1,167,9682
ca_species1,LLM3,1,168,9755
ca_species1,LLM3,1,169,9670
ca_species1,LLM3,1,170,9650
ca_species1,LLM3,1,171,9554
ca_species1,LLM3,1,172,9557
ca_species1,LLM3,1,173,9659
ca_species1,LLM3,1,174,9614
ca_species1,LLM3,1,175,9688
ca_species1,LLM3,1,176,9731
ca_species1,LLM3,1,177,9780
ca_species1,LLM3,1,178,9707
ca_species1,LLM3,1,179,9677
ca_species1,LLM3,1,180,9656
ca_species1,LLM3,1,181,9614
ca_species1,LLM3,1,182,9679
ca_species1,LLM3,1,183,9624
ca_species1,LLM3,1,184,9627
ca_species1,LLM3,1,185,9674
ca_species1,LLM3,1,186,9655
ca_species1,LLM3,1,187,9543
ca_species1,LLM3,1,188,9622
ca_species1,LLM3,1,189,9713
ca_species1,LLM3,1,190,9801
ca_species1,LLM3,1,191,9767
ca_species1,LLM3,1,192,9769
ca_species1,LLM3,1,193,9760
ca_species1,LLM3,1,194,9746
ca_species1,LLM3,1,195,9748
ca_species1,LLM3,1,196,9686
ca_species1,LLM3,1,197,9597
ca_species1,LLM3,1,198,9661
ca_species1,LLM3,1,199,9684
ca_species1,LLM3,1,200,9677
ca_species1,LLM3,1,201,9593
ca_species1,LLM3,1,202,9596
ca_species1,LLM3,1,203,9577
ca_species1,LLM3,1,204,9649
ca_species1,LLM3,1,205,9660
ca_species1,LLM3,1,206,9615
ca_species1,LLM3,1,207,9734
ca_species1,LLM3,1,208,9671
ca_species1,LLM3,1,209,9680
ca_species1,LLM3,1,210,9636
ca_species1,LLM3,1,211,9640
ca_species1,LLM3,1,212,9676
ca_species1,LLM3,1,213,9738
ca_species1,LLM3,1,214,9764
ca_species1,LLM3,1,215,9660
ca_species1,LLM3,1,216,9741
ca_species1,LLM3,1,217,9758
ca_species1,LLM3,1,218,9796
ca_species1,LLM3,1,219,9853
ca_species1,LLM3,1,220,9855
ca_species1,LLM3,1,221,9773
ca_species1,LLM3,1,222,9772
ca_species1,LLM3,1,223,9822
ca_species1,LLM3,1,224,9827
ca_species1,LLM3,1,225,9825
ca_species1,LLM3,1,226,9766
ca_species1,LLM3,1,227,9796
ca_species1,LLM3,1,228,9717
ca_species1,LLM3,1,229,9790
ca_species1,LLM3,1,230,9712
ca_species1,LLM3,1,231,9701
ca_species1,LLM3,1,232,9773
ca_species1,LLM3,1,233,9724
ca_species1,LLM3,1,234,9710
ca_species1,LLM3,1,235,9778
ca_species1,LLM3,1,236,9817
ca_species1,LLM3,1,237,9799
ca_species1,LLM3,1,238,9828
ca_species1,LLM3,1,239,9811
ca_species1,LLM3,1,240,9797
ca_species1,LLM3,1,241,9767
ca_species1,LLM3,1,242,9729
ca_species1,LLM3,1,243,9703
ca_species1,LLM3,1,244,9698
ca_species1,LLM3,1,245,9694
ca_species1,LLM3,1,246,9743
ca_species1,LLM3,1,247,9736
ca_species1,LLM3,1,248,9751
ca_species1,LLM3,1,249,9821
ca_species1,LLM3,1,250,9874
ca_species1,LLM3,1,251,9885
ca_species1,LLM3,1,252,9780
ca_species1,LLM3,1,253,9709
ca_species1,LLM3,1,254,9691
ca_species1,LLM3,1,255,9755
ca_species1,LLM3,1,256,9730
ca_species1,LLM3,1,257,9664
ca_species1,LLM3,1,258,9670
ca_species1,LLM3,1,259,9625
ca_species1,LLM3,1,260,9601
ca_species1,LLM3,1,261,9687
ca_species1,LLM3,1,262,9661
ca_species1,LLM3,1,263,9718
ca_species1,LLM3,1,264,9811
ca_species1,LLM3,1,265,9739
ca_species1,LLM3,1,266,9779
ca_species1,LLM3,1,267,9773
ca_species1,LLM3,1,268,9796
ca_species1,LLM3,1,269,9761
ca_species1,LLM3,1,270,9780
ca_species1,LLM3,1,271,9764
ca_species1,LLM3,1,272,9814
ca_species1,LLM3,1,273,9809
ca_species1,LLM3,1,274,9823
ca_species1,LLM3,1,275,9716
ca_species1,LLM3,1,276,9777
